,time,timeCheck,next_opportunity_time,rollangle,omega,errorAngle,controlTorque
55,2023-06-12 21:51:30+00:00,,,,,,
56,2023-06-12 21:51:31.800000+00:00,,,,,,
57,2023-06-12 21:51:33.600000+00:00,,,,,,
58,2023-06-12 21:51:35.400000+00:00,,,,,,
59,2023-06-12 21:51:37.200000+00:00,,,,,,
60,2023-06-12 21:51:39+00:00,,,,,,
61,2023-06-12 21:51:40.800000+00:00,,,,,,
62,2023-06-12 21:51:42.600000+00:00,,,,,,
63,2023-06-12 21:51:44.400000+00:00,,,,,,
64,2023-06-12 21:51:46.200000+00:00,,,,,,
65,2023-06-12 21:51:48+00:00,,,,,,
66,2023-06-12 21:51:49.800000+00:00,,,,,,
67,2023-06-12 21:51:51.600000+00:00,,,,,,
68,2023-06-12 21:51:53.400000+00:00,,,,,,
69,2023-06-12 21:51:55.200000+00:00,,,,,,
70,2023-06-12 21:51:57+00:00,,,,,,
71,2023-06-12 21:51:58.800000+00:00,,,,,,
72,2023-06-12 21:52:00.600000+00:00,,,,,,
73,2023-06-12 21:52:02.400000+00:00,,,,,,
74,2023-06-12 21:52:04.200000+00:00,,,,,,
75,2023-06-12 21:52:06+00:00,,,,,,
76,2023-06-12 21:52:07.800000+00:00,,,,,,
77,2023-06-12 21:52:09.600000+00:00,,,,,,
78,2023-06-12 21:52:11.400000+00:00,,,,,,
79,2023-06-12 21:52:13.200000+00:00,,,,,,
80,2023-06-12 21:52:15+00:00,,,,,,
81,2023-06-12 21:52:16.800000+00:00,,,,,,
82,2023-06-12 21:52:18.600000+00:00,,,,,,
83,2023-06-12 21:52:20.400000+00:00,,,,,,
84,2023-06-12 21:52:22.200000+00:00,,,,,,
85,2023-06-12 21:52:24+00:00,,,,,,
86,2023-06-12 21:52:25.800000+00:00,,,,,,
87,2023-06-12 21:52:27.600000+00:00,,,,,,
88,2023-06-12 21:52:29.400000+00:00,,,,,,
89,2023-06-12 21:52:31.200000+00:00,,,,,,
90,2023-06-12 21:52:33+00:00,,,,,,
91,2023-06-12 21:52:34.800000+00:00,,,,,,
92,2023-06-12 21:52:36.600000+00:00,,,,,,
93,2023-06-12 21:52:38.400000+00:00,,,,,,
94,2023-06-12 21:52:40.200000+00:00,,,,,,
95,2023-06-12 21:52:42+00:00,,,,,,
96,2023-06-12 21:52:43.800000+00:00,,,,,,
97,2023-06-12 21:52:45.600000+00:00,,,,,,
98,2023-06-12 21:52:47.400000+00:00,,,,,,
99,2023-06-12 21:52:49.200000+00:00,,,,,,
100,2023-06-12 21:52:51+00:00,,,,,,
101,2023-06-12 21:52:52.800000+00:00,,,,,,
102,2023-06-12 21:52:54.600000+00:00,,,,,,
103,2023-06-12 21:52:56.400000+00:00,,,,,,
104,2023-06-12 21:52:58.200000+00:00,,,,,,
105,2023-06-12 21:53:00+00:00,,,,,,
106,2023-06-12 21:53:01.800000+00:00,,,,,,
107,2023-06-12 21:53:03.600000+00:00,,,,,,
108,2023-06-12 21:53:05.400000+00:00,,,,,,
109,2023-06-12 21:53:07.200000+00:00,,,,,,
110,2023-06-12 21:53:09+00:00,,,,,,
111,2023-06-12 21:53:10.800000+00:00,,,,,,
112,2023-06-12 21:53:12.600000+00:00,,,,,,
113,2023-06-12 21:53:14.400000+00:00,,,,,,
114,2023-06-12 21:53:16.200000+00:00,,,,,,
115,2023-06-12 21:53:18+00:00,,,,,,
116,2023-06-12 21:53:19.800000+00:00,,,,,,
117,2023-06-12 21:53:21.600000+00:00,,,,,,
118,2023-06-12 21:53:23.400000+00:00,,,,,,
119,2023-06-12 21:53:25.200000+00:00,,,,,,
120,2023-06-12 21:53:27+00:00,,,,,,
121,2023-06-12 21:53:28.800000+00:00,,,,,,
122,2023-06-12 21:53:30.600000+00:00,,,,,,
123,2023-06-12 21:53:32.400000+00:00,,,,,,
124,2023-06-12 21:53:34.200000+00:00,,,,,,
125,2023-06-12 21:53:36+00:00,,,,,,
126,2023-06-12 21:53:37.800000+00:00,,,,,,
127,2023-06-12 21:53:39.600000+00:00,,,,,,
128,2023-06-12 21:53:41.400000+00:00,,,,,,
129,2023-06-12 21:53:43.200000+00:00,,,,,,
130,2023-06-12 21:53:45+00:00,,,,,,
131,2023-06-12 21:53:46.800000+00:00,,,,,,
132,2023-06-12 21:53:48.600000+00:00,,,,,,
133,2023-06-12 21:53:50.400000+00:00,,,,,,
134,2023-06-12 21:53:52.200000+00:00,,,,,,
135,2023-06-12 21:53:54+00:00,,,,,,
136,2023-06-12 21:53:55.800000+00:00,,,,,,
137,2023-06-12 21:53:57.600000+00:00,,,,,,
138,2023-06-12 21:53:59.400000+00:00,,,,,,
139,2023-06-12 21:54:01.200000+00:00,,,,,,
140,2023-06-12 21:54:03+00:00,,,,,,
141,2023-06-12 21:54:04.800000+00:00,,,,,,
142,2023-06-12 21:54:06.600000+00:00,,,,,,
143,2023-06-12 21:54:08.400000+00:00,,,,,,
144,2023-06-12 21:54:10.200000+00:00,,,,,,
145,2023-06-12 21:54:12+00:00,,,,,,
146,2023-06-12 21:54:13.800000+00:00,,,,,,
147,2023-06-12 21:54:15.600000+00:00,,,,,,
148,2023-06-12 21:54:17.400000+00:00,,,,,,
149,2023-06-12 21:54:19.200000+00:00,,,,,,
150,2023-06-12 21:54:21+00:00,,,,,,
151,2023-06-12 21:54:22.800000+00:00,,,,,,
152,2023-06-12 21:54:24.600000+00:00,,,,,,
153,2023-06-12 21:54:26.400000+00:00,,,,,,
154,2023-06-12 21:54:28.200000+00:00,,,,,,
155,2023-06-12 21:54:30+00:00,,,,,,
156,2023-06-12 21:54:31.800000+00:00,,,,,,
157,2023-06-12 21:54:33.600000+00:00,,,,,,
158,2023-06-12 21:54:35.400000+00:00,,,,,,
159,2023-06-12 21:54:37.200000+00:00,,,,,,
160,2023-06-12 21:54:39+00:00,,,,,,
161,2023-06-12 21:54:40.800000+00:00,,,,,,
162,2023-06-12 21:54:42.600000+00:00,,,,,,
163,2023-06-12 21:54:44.400000+00:00,,,,,,
164,2023-06-12 21:54:46.200000+00:00,,,,,,
165,2023-06-12 21:54:48+00:00,,,,,,
166,2023-06-12 21:54:49.800000+00:00,,,,,,
167,2023-06-12 21:54:51.600000+00:00,,,,,,
168,2023-06-12 21:54:53.400000+00:00,,,,,,
169,2023-06-12 21:54:55.200000+00:00,,,,,,
170,2023-06-12 21:54:57+00:00,,,,,,
171,2023-06-12 21:54:58.800000+00:00,,,,,,
172,2023-06-12 21:55:00.600000+00:00,,,,,,
173,2023-06-12 21:55:02.400000+00:00,,,,,,
174,2023-06-12 21:55:04.200000+00:00,,,,,,
175,2023-06-12 21:55:06+00:00,,,,,,
176,2023-06-12 21:55:07.800000+00:00,,,,,,
177,2023-06-12 21:55:09.600000+00:00,,,,,,
178,2023-06-12 21:55:11.400000+00:00,,,,,,
179,2023-06-12 21:55:13.200000+00:00,,,,,,
180,2023-06-12 21:55:15+00:00,,,,,,
181,2023-06-12 21:55:16.800000+00:00,,,,,,
182,2023-06-12 21:55:18.600000+00:00,,,,,,
183,2023-06-12 21:55:20.400000+00:00,,,,,,
184,2023-06-12 21:55:22.200000+00:00,,,,,,
185,2023-06-12 21:55:24+00:00,,,,,,
186,2023-06-12 21:55:25.800000+00:00,,,,,,
187,2023-06-12 21:55:27.600000+00:00,,,,,,
188,2023-06-12 21:55:29.400000+00:00,,,,,,
189,2023-06-12 21:55:31.200000+00:00,,,,,,
190,2023-06-12 21:55:33+00:00,,,,,,
191,2023-06-12 21:55:34.800000+00:00,,,,,,
192,2023-06-12 21:55:36.600000+00:00,,,,,,
193,2023-06-12 21:55:38.400000+00:00,,,,,,
194,2023-06-12 21:55:40.200000+00:00,,,,,,
195,2023-06-12 21:55:42+00:00,,,,,,
196,2023-06-12 21:55:43.800000+00:00,,,,,,
197,2023-06-12 21:55:45.600000+00:00,,,,,,
198,2023-06-12 21:55:47.400000+00:00,,,,,,
199,2023-06-12 21:55:49.200000+00:00,,,,,,
200,2023-06-12 21:55:51+00:00,,,,,,
201,2023-06-12 21:55:52.800000+00:00,,,,,,
202,2023-06-12 21:55:54.600000+00:00,,,,,,
203,2023-06-12 21:55:56.400000+00:00,,,,,,
204,2023-06-12 21:55:58.200000+00:00,,,,,,
205,2023-06-12 21:56:00+00:00,,,,,,
206,2023-06-12 21:56:01.800000+00:00,,,,,,
207,2023-06-12 21:56:03.600000+00:00,,,,,,
208,2023-06-12 21:56:05.400000+00:00,,,,,,
209,2023-06-12 21:56:07.200000+00:00,,,,,,
210,2023-06-12 21:56:09+00:00,,,,,,
211,2023-06-12 21:56:10.800000+00:00,,,,,,
212,2023-06-12 21:56:12.600000+00:00,,,,,,
213,2023-06-12 21:56:14.400000+00:00,,,,,,
214,2023-06-12 21:56:16.200000+00:00,,,,,,
215,2023-06-12 21:56:18+00:00,,,,,,
216,2023-06-12 21:56:19.800000+00:00,,,,,,
217,2023-06-12 21:56:21.600000+00:00,,,,,,
218,2023-06-12 21:56:23.400000+00:00,,,,,,
219,2023-06-12 21:56:25.200000+00:00,,,,,,
220,2023-06-12 21:56:27+00:00,,,,,,
221,2023-06-12 21:56:28.800000+00:00,,,,,,
222,2023-06-12 21:56:30.600000+00:00,,,,,,
223,2023-06-12 21:56:32.400000+00:00,,,,,,
224,2023-06-12 21:56:34.200000+00:00,,,,,,
225,2023-06-12 21:56:36+00:00,,,,,,
226,2023-06-12 21:56:37.800000+00:00,,,,,,
227,2023-06-12 21:56:39.600000+00:00,,,,,,
228,2023-06-12 21:56:41.400000+00:00,,,,,,
229,2023-06-12 21:56:43.200000+00:00,,,,,,
230,2023-06-12 21:56:45+00:00,,,,,,
231,2023-06-12 21:56:46.800000+00:00,,,,,,
232,2023-06-12 21:56:48.600000+00:00,,,,,,
233,2023-06-12 21:56:50.400000+00:00,,,,,,
234,2023-06-12 21:56:52.200000+00:00,,,,,,
235,2023-06-12 21:56:54+00:00,,,,,,
236,2023-06-12 21:56:55.800000+00:00,,,,,,
237,2023-06-12 21:56:57.600000+00:00,,,,,,
238,2023-06-12 21:56:59.400000+00:00,,,,,,
239,2023-06-12 21:57:01.200000+00:00,,,,,,
240,2023-06-12 21:57:03+00:00,,,,,,
241,2023-06-12 21:57:04.800000+00:00,,,,,,
242,2023-06-12 21:57:06.600000+00:00,,,,,,
243,2023-06-12 21:57:08.400000+00:00,,,,,,
244,2023-06-12 21:57:10.200000+00:00,,,,,,
245,2023-06-12 21:57:12+00:00,,,,,,
246,2023-06-12 21:57:13.800000+00:00,,,,,,
247,2023-06-12 21:57:15.600000+00:00,,,,,,
248,2023-06-12 21:57:17.400000+00:00,,,,,,
249,2023-06-12 21:57:19.200000+00:00,,,,,,
250,2023-06-12 21:57:21+00:00,,,,,,
251,2023-06-12 21:57:22.800000+00:00,,,,,,
252,2023-06-12 21:57:24.600000+00:00,,,,,,
253,2023-06-12 21:57:26.400000+00:00,,,,,,
254,2023-06-12 21:57:28.200000+00:00,,,,,,
255,2023-06-12 21:57:30+00:00,,,,,,
256,2023-06-12 21:57:31.800000+00:00,,,,,,
257,2023-06-12 21:57:33.600000+00:00,,,,,,
258,2023-06-12 21:57:35.400000+00:00,,,,,,
259,2023-06-12 21:57:37.200000+00:00,,,,,,
260,2023-06-12 21:57:39+00:00,,,,,,
261,2023-06-12 21:57:40.800000+00:00,,,,,,
262,2023-06-12 21:57:42.600000+00:00,,,,,,
263,2023-06-12 21:57:44.400000+00:00,,,,,,
264,2023-06-12 21:57:46.200000+00:00,,,,,,
265,2023-06-12 21:57:48+00:00,,,,,,
266,2023-06-12 21:57:49.800000+00:00,,,,,,
267,2023-06-12 21:57:51.600000+00:00,,,,,,
268,2023-06-12 21:57:53.400000+00:00,,,,,,
269,2023-06-12 21:57:55.200000+00:00,,,,,,
270,2023-06-12 21:57:57+00:00,,,,,,
271,2023-06-12 21:57:58.800000+00:00,,,,,,
272,2023-06-12 21:58:00.600000+00:00,,,,,,
273,2023-06-12 21:58:02.400000+00:00,,,,,,
274,2023-06-12 21:58:04.200000+00:00,,,,,,
275,2023-06-12 21:58:06+00:00,,,,,,
276,2023-06-12 21:58:07.800000+00:00,,,,,,
277,2023-06-12 21:58:09.600000+00:00,,,,,,
278,2023-06-12 21:58:11.400000+00:00,,,,,,
279,2023-06-12 21:58:13.200000+00:00,,,,,,
280,2023-06-12 21:58:15+00:00,,,,,,
281,2023-06-12 21:58:16.800000+00:00,,,,,,
282,2023-06-12 21:58:18.600000+00:00,,,,,,
283,2023-06-12 21:58:20.400000+00:00,,,,,,
284,2023-06-12 21:58:22.200000+00:00,,,,,,
285,2023-06-12 21:58:24+00:00,,,,,,
286,2023-06-12 21:58:25.800000+00:00,,,,,,
287,2023-06-12 21:58:27.600000+00:00,,,,,,
288,2023-06-12 21:58:29.400000+00:00,,,,,,
289,2023-06-12 21:58:31.200000+00:00,,,,,,
290,2023-06-12 21:58:33+00:00,,,,,,
291,2023-06-12 21:58:34.800000+00:00,,,,,,
292,2023-06-12 21:58:36.600000+00:00,,,,,,
293,2023-06-12 21:58:38.400000+00:00,,,,,,
294,2023-06-12 21:58:40.200000+00:00,,,,,,
295,2023-06-12 21:58:42+00:00,,,,,,
296,2023-06-12 21:58:43.800000+00:00,,,,,,
297,2023-06-12 21:58:45.600000+00:00,,,,,,
298,2023-06-12 21:58:47.400000+00:00,,,,,,
299,2023-06-12 21:58:49.200000+00:00,,,,,,
300,2023-06-12 21:58:51+00:00,,,,,,
301,2023-06-12 21:58:52.800000+00:00,,,,,,
302,2023-06-12 21:58:54.600000+00:00,,,,,,
303,2023-06-12 21:58:56.400000+00:00,,,,,,
304,2023-06-12 21:58:58.200000+00:00,,,,,,
305,2023-06-12 21:59:00+00:00,,,,,,
306,2023-06-12 21:59:01.800000+00:00,,,,,,
307,2023-06-12 21:59:03.600000+00:00,,,,,,
308,2023-06-12 21:59:05.400000+00:00,,,,,,
309,2023-06-12 21:59:07.200000+00:00,,,,,,
310,2023-06-12 21:59:09+00:00,,,,,,
311,2023-06-12 21:59:10.800000+00:00,,,,,,
312,2023-06-12 21:59:12.600000+00:00,,,,,,
313,2023-06-12 21:59:14.400000+00:00,,,,,,
314,2023-06-12 21:59:16.200000+00:00,,,,,,
315,2023-06-12 21:59:18+00:00,,,,,,
316,2023-06-12 21:59:19.800000+00:00,,,,,,
317,2023-06-12 21:59:21.600000+00:00,,,,,,
318,2023-06-12 21:59:23.400000+00:00,,,,,,
319,2023-06-12 21:59:25.200000+00:00,,,,,,
320,2023-06-12 21:59:27+00:00,,,,,,
321,2023-06-12 21:59:28.800000+00:00,,,,,,
322,2023-06-12 21:59:30.600000+00:00,,,,,,
323,2023-06-12 21:59:32.400000+00:00,,,,,,
324,2023-06-12 21:59:34.200000+00:00,,,,,,
325,2023-06-12 21:59:36+00:00,,,,,,
326,2023-06-12 21:59:37.800000+00:00,,,,,,
327,2023-06-12 21:59:39.600000+00:00,,,,,,
328,2023-06-12 21:59:41.400000+00:00,,,,,,
329,2023-06-12 21:59:43.200000+00:00,,,,,,
330,2023-06-12 21:59:45+00:00,,,,,,
331,2023-06-12 21:59:46.800000+00:00,,,,,,
332,2023-06-12 21:59:48.600000+00:00,,,,,,
333,2023-06-12 21:59:50.400000+00:00,,,,,,
334,2023-06-12 21:59:52.200000+00:00,,,,,,
335,2023-06-12 21:59:54+00:00,,,,,,
336,2023-06-12 21:59:55.800000+00:00,,,,,,
337,2023-06-12 21:59:57.600000+00:00,,,,,,
338,2023-06-12 21:59:59.400000+00:00,,,,,,
339,2023-06-12 22:00:01.200000+00:00,,,,,,
340,2023-06-12 22:00:03+00:00,,,,,,
341,2023-06-12 22:00:04.800000+00:00,,,,,,
342,2023-06-12 22:00:06.600000+00:00,,,,,,
343,2023-06-12 22:00:08.400000+00:00,,,,,,
344,2023-06-12 22:00:10.200000+00:00,,,,,,
345,2023-06-12 22:00:12+00:00,,,,,,
346,2023-06-12 22:00:13.800000+00:00,,,,,,
347,2023-06-12 22:00:15.600000+00:00,,,,,,
348,2023-06-12 22:00:17.400000+00:00,,,,,,
349,2023-06-12 22:00:19.200000+00:00,,,,,,
350,2023-06-12 22:00:21+00:00,,,,,,
351,2023-06-12 22:00:22.800000+00:00,,,,,,
352,2023-06-12 22:00:24.600000+00:00,,,,,,
353,2023-06-12 22:00:26.400000+00:00,,,,,,
354,2023-06-12 22:00:28.200000+00:00,,,,,,
355,2023-06-12 22:00:30+00:00,,,,,,
356,2023-06-12 22:00:31.800000+00:00,,,,,,
357,2023-06-12 22:00:33.600000+00:00,,,,,,
358,2023-06-12 22:00:35.400000+00:00,,,,,,
359,2023-06-12 22:00:37.200000+00:00,,,,,,
360,2023-06-12 22:00:39+00:00,,,,,,
361,2023-06-12 22:00:40.800000+00:00,,,,,,
362,2023-06-12 22:00:42.600000+00:00,,,,,,
363,2023-06-12 22:00:44.400000+00:00,,,,,,
364,2023-06-12 22:00:46.200000+00:00,,,,,,
365,2023-06-12 22:00:48+00:00,,,,,,
366,2023-06-12 22:00:49.800000+00:00,,,,,,
367,2023-06-12 22:00:51.600000+00:00,,,,,,
368,2023-06-12 22:00:53.400000+00:00,,,,,,
369,2023-06-12 22:00:55.200000+00:00,,,,,,
370,2023-06-12 22:00:57+00:00,,,,,,
371,2023-06-12 22:00:58.800000+00:00,,,,,,
372,2023-06-12 22:01:00.600000+00:00,,,,,,
373,2023-06-12 22:01:02.400000+00:00,,,,,,
374,2023-06-12 22:01:04.200000+00:00,,,,,,
375,2023-06-12 22:01:06+00:00,,,,,,
376,2023-06-12 22:01:07.800000+00:00,,,,,,
377,2023-06-12 22:01:09.600000+00:00,,,,,,
378,2023-06-12 22:01:11.400000+00:00,,,,,,
379,2023-06-12 22:01:13.200000+00:00,,,,,,
380,2023-06-12 22:01:15+00:00,,,,,,
381,2023-06-12 22:01:16.800000+00:00,,,,,,
382,2023-06-12 22:01:18.600000+00:00,,,,,,
383,2023-06-12 22:01:20.400000+00:00,,,,,,
384,2023-06-12 22:01:22.200000+00:00,,,,,,
385,2023-06-12 22:01:24+00:00,,,,,,
386,2023-06-12 22:01:25.800000+00:00,,,,,,
387,2023-06-12 22:01:27.600000+00:00,,,,,,
388,2023-06-12 22:01:29.400000+00:00,,,,,,
389,2023-06-12 22:01:31.200000+00:00,,,,,,
390,2023-06-12 22:01:33+00:00,,,,,,
391,2023-06-12 22:01:34.800000+00:00,,,,,,
392,2023-06-12 22:01:36.600000+00:00,,,,,,
393,2023-06-12 22:01:38.400000+00:00,,,,,,
394,2023-06-12 22:01:40.200000+00:00,,,,,,
395,2023-06-12 22:01:42+00:00,,,,,,
396,2023-06-12 22:01:43.800000+00:00,,,,,,
397,2023-06-12 22:01:45.600000+00:00,,,,,,
398,2023-06-12 22:01:47.400000+00:00,,,,,,
399,2023-06-12 22:01:49.200000+00:00,,,,,,
400,2023-06-12 22:01:51+00:00,,,,,,
401,2023-06-12 22:01:52.800000+00:00,,,,,,
402,2023-06-12 22:01:54.600000+00:00,,,,,,
403,2023-06-12 22:01:56.400000+00:00,,,,,,
404,2023-06-12 22:01:58.200000+00:00,,,,,,
405,2023-06-12 22:02:00+00:00,,,,,,
406,2023-06-12 22:02:01.800000+00:00,,,,,,
407,2023-06-12 22:02:03.600000+00:00,,,,,,
408,2023-06-12 22:02:05.400000+00:00,,,,,,
409,2023-06-12 22:02:07.200000+00:00,,,,,,
410,2023-06-12 22:02:09+00:00,,,,,,
411,2023-06-12 22:02:10.800000+00:00,,,,,,
412,2023-06-12 22:02:12.600000+00:00,,,,,,
413,2023-06-12 22:02:14.400000+00:00,,,,,,
414,2023-06-12 22:02:16.200000+00:00,,,,,,
415,2023-06-12 22:02:18+00:00,,,,,,
416,2023-06-12 22:02:19.800000+00:00,,,,,,
417,2023-06-12 22:02:21.600000+00:00,,,,,,
418,2023-06-12 22:02:23.400000+00:00,,,,,,
419,2023-06-12 22:02:25.200000+00:00,,,,,,
420,2023-06-12 22:02:27+00:00,,,,,,
421,2023-06-12 22:02:28.800000+00:00,,,,,,
422,2023-06-12 22:02:30.600000+00:00,,,,,,
423,2023-06-12 22:02:32.400000+00:00,,,,,,
424,2023-06-12 22:02:34.200000+00:00,,,,,,
425,2023-06-12 22:02:36+00:00,,,,,,
426,2023-06-12 22:02:37.800000+00:00,,,,,,
427,2023-06-12 22:02:39.600000+00:00,,,,,,
428,2023-06-12 22:02:41.400000+00:00,,,,,,
429,2023-06-12 22:02:43.200000+00:00,,,,,,
430,2023-06-12 22:02:45+00:00,,,,,,
431,2023-06-12 22:02:46.800000+00:00,,,,,,
432,2023-06-12 22:02:48.600000+00:00,,,,,,
433,2023-06-12 22:02:50.400000+00:00,,,,,,
434,2023-06-12 22:02:52.200000+00:00,,,,,,
435,2023-06-12 22:02:54+00:00,,,,,,
436,2023-06-12 22:02:55.800000+00:00,,,,,,
437,2023-06-12 22:02:57.600000+00:00,,,,,,
438,2023-06-12 22:02:59.400000+00:00,,,,,,
439,2023-06-12 22:03:01.200000+00:00,,,,,,
440,2023-06-12 22:03:03+00:00,,,,,,
441,2023-06-12 22:03:04.800000+00:00,,,,,,
442,2023-06-12 22:03:06.600000+00:00,,,,,,
443,2023-06-12 22:03:08.400000+00:00,,,,,,
444,2023-06-12 22:03:10.200000+00:00,,,,,,
445,2023-06-12 22:03:12+00:00,,,,,,
446,2023-06-12 22:03:13.800000+00:00,,,,,,
447,2023-06-12 22:03:15.600000+00:00,,,,,,
448,2023-06-12 22:03:17.400000+00:00,,,,,,
449,2023-06-12 22:03:19.200000+00:00,,,,,,
450,2023-06-12 22:03:21+00:00,,,,,,
451,2023-06-12 22:03:22.800000+00:00,,,,,,
452,2023-06-12 22:03:24.600000+00:00,,,,,,
453,2023-06-12 22:03:26.400000+00:00,,,,,,
454,2023-06-12 22:03:28.200000+00:00,,,,,,
455,2023-06-12 22:03:30+00:00,,,,,,
456,2023-06-12 22:03:31.800000+00:00,,,,,,
457,2023-06-12 22:03:33.600000+00:00,,,,,,
458,2023-06-12 22:03:35.400000+00:00,,,,,,
459,2023-06-12 22:03:37.200000+00:00,,,,,,
460,2023-06-12 22:03:39+00:00,,,,,,
461,2023-06-12 22:03:40.800000+00:00,,,,,,
462,2023-06-12 22:03:42.600000+00:00,,,,,,
463,2023-06-12 22:03:44.400000+00:00,,,,,,
464,2023-06-12 22:03:46.200000+00:00,,,,,,
465,2023-06-12 22:03:48+00:00,,,,,,
466,2023-06-12 22:03:49.800000+00:00,,,,,,
467,2023-06-12 22:03:51.600000+00:00,,,,,,
468,2023-06-12 22:03:53.400000+00:00,,,,,,
469,2023-06-12 22:03:55.200000+00:00,,,,,,
470,2023-06-12 22:03:57+00:00,,,,,,
471,2023-06-12 22:03:58.800000+00:00,,,,,,
472,2023-06-12 22:04:00.600000+00:00,,,,,,
473,2023-06-12 22:04:02.400000+00:00,,,,,,
474,2023-06-12 22:04:04.200000+00:00,,,,,,
475,2023-06-12 22:04:06+00:00,,,,,,
476,2023-06-12 22:04:07.800000+00:00,,,,,,
477,2023-06-12 22:04:09.600000+00:00,,,,,,
478,2023-06-12 22:04:11.400000+00:00,,,,,,
479,2023-06-12 22:04:13.200000+00:00,,,,,,
480,2023-06-12 22:04:15+00:00,,,,,,
481,2023-06-12 22:04:16.800000+00:00,,,,,,
482,2023-06-12 22:04:18.600000+00:00,,,,,,
483,2023-06-12 22:04:20.400000+00:00,,,,,,
484,2023-06-12 22:04:22.200000+00:00,,,,,,
485,2023-06-12 22:04:24+00:00,,,,,,
486,2023-06-12 22:04:25.800000+00:00,,,,,,
487,2023-06-12 22:04:27.600000+00:00,,,,,,
488,2023-06-12 22:04:29.400000+00:00,,,,,,
489,2023-06-12 22:04:31.200000+00:00,,,,,,
490,2023-06-12 22:04:33+00:00,,,,,,
491,2023-06-12 22:04:34.800000+00:00,,,,,,
492,2023-06-12 22:04:36.600000+00:00,,,,,,
493,2023-06-12 22:04:38.400000+00:00,,,,,,
494,2023-06-12 22:04:40.200000+00:00,,,,,,
495,2023-06-12 22:04:42+00:00,,,,,,
496,2023-06-12 22:04:43.800000+00:00,,,,,,
497,2023-06-12 22:04:45.600000+00:00,,,,,,
498,2023-06-12 22:04:47.400000+00:00,,,,,,
499,2023-06-12 22:04:49.200000+00:00,,,,,,
500,2023-06-12 22:04:51+00:00,,,,,,
501,2023-06-12 22:04:52.800000+00:00,,,,,,
502,2023-06-12 22:04:54.600000+00:00,,,,,,
503,2023-06-12 22:04:56.400000+00:00,,,,,,
504,2023-06-12 22:04:58.200000+00:00,,,,,,
505,2023-06-12 22:05:00+00:00,,,,,,
506,2023-06-12 22:05:01.800000+00:00,,,,,,
507,2023-06-12 22:05:03.600000+00:00,,,,,,
