fireId,latitude,longitude,start_time
0,8.1231,-68.88045,8/7/2023 7:30
1,49.92619,127.89039,8/7/2023 7:31
2,0.39047,-75.87447,8/7/2023 7:33
3,-22.38323,18.64897,8/7/2023 7:37
4,38.09806,-81.55146,8/7/2023 7:40
5,26.09051,45.52455,8/7/2023 7:41
6,66.36863,48.96261,8/7/2023 7:42
7,64.34667,60.0083,8/7/2023 7:46
8,62.76809,17.8169,8/7/2023 7:49
9,43.86443,0.39025,8/7/2023 7:52
10,-13.90063,-43.05855,8/7/2023 7:54
11,54.58433,-122.64752,8/7/2023 7:58
12,70.1841,97.59265,8/7/2023 8:01
13,37.297817,-92.459023,8/7/2023 8:04
14,34.155838,-81.478844,8/7/2023 8:06
15,36.009022,-91.602608,8/7/2023 8:08
16,48.90245,133.72154,8/7/2023 8:11
17,56.44369,-3.91555,8/7/2023 8:16
18,41.21555,0.98107,8/7/2023 8:19
19,30.809576,-84.594444,8/7/2023 8:23
20,30.808241,-85.420036,8/7/2023 8:27
21,31.382523,-86.092049,8/7/2023 8:29
22,39.6782,82.14125,8/7/2023 8:30
23,33.12098,68.72946,8/7/2023 8:36
24,1.17249,-52.08166,8/7/2023 8:38
25,30.363194,-85.133362,8/7/2023 8:40
26,31.589054,-84.448097,8/7/2023 8:42
27,31.925428,-84.627228,8/7/2023 8:43
28,31.592415,-84.447304,8/7/2023 8:44
29,-27.27737,-64.26499,8/7/2023 8:45
30,43.52159,-80.49303,8/7/2023 8:46
31,-35.94108,144.95117,8/7/2023 8:47
32,17.8658,82.68446,8/7/2023 8:48
33,-47.78953,-73.76525,8/7/2023 8:49
34,52.84497,-123.23979,8/7/2023 8:50
35,51.17137,65.15408,8/7/2023 8:51
36,59.57841,45.40542,8/7/2023 8:54
37,31.52747,1.86611,8/7/2023 8:55
38,-2.07613,10.9913,8/7/2023 8:57
39,43.51014,-0.51627,8/7/2023 8:58
40,47.70515,99.00344,8/7/2023 8:59
41,-50.70838,-70.30666,8/7/2023 9:00
42,61.19933,-148.32227,8/7/2023 9:02
43,29.80672,67.35524,8/7/2023 9:06
44,-23.10638,27.55721,8/7/2023 9:07
45,56.28295,111.97685,8/7/2023 9:10
46,54.28177,104.63291,8/7/2023 9:14
47,31.835232,-83.053383,8/7/2023 9:16
48,31.385183,-89.81498,8/7/2023 9:18
49,31.677877,-90.420029,8/7/2023 9:22
50,7.20194,8.14452,8/7/2023 9:23
51,-14.94895,-38.95421,8/7/2023 9:25
52,61.58567,-152.16876,8/7/2023 9:29
53,56.49442,58.58084,8/7/2023 9:31
54,-5.15352,-51.1842,8/7/2023 9:35
55,40.09881,28.90514,8/7/2023 9:39
56,-10.63592,25.66789,8/7/2023 9:42
57,38.38513,39.55235,8/7/2023 9:44
58,55.46824,-158.13351,8/7/2023 9:45
59,10.1563,-6.58773,8/7/2023 9:46
60,-12.28218,-75.20735,8/7/2023 9:48
61,64.56679,141.76913,8/7/2023 9:52
62,21.0859,33.61114,8/7/2023 9:55
63,30.288603,-90.838821,8/7/2023 9:58
64,-0.66719,-63.82607,8/7/2023 9:59
65,25.96922,102.66312,8/7/2023 10:01
66,1.73441,-75.67809,8/7/2023 10:04
67,48.420078,-118.035973,8/7/2023 10:06
68,39.04457,77.47216,8/7/2023 10:09
69,63.43289,166.15951,8/7/2023 10:10
70,65.99593,-72.84114,8/7/2023 10:11
71,38.994511,-93.025864,8/7/2023 10:12
72,55.25872,-4.02739,8/7/2023 10:14
73,44.65704,-119.703262,8/7/2023 10:19
74,41.24279,41.13682,8/7/2023 10:22
75,-4.88447,-79.72235,8/7/2023 10:26
76,37.296547,-92.459618,8/7/2023 10:29
77,37.926437,-95.409416,8/7/2023 10:33
78,40.1997,118.17201,8/7/2023 10:37
79,7.59782,-76.79761,8/7/2023 10:40
80,14.24374,38.46451,8/7/2023 10:42
81,31.794052,-103.813667,8/7/2023 10:44
82,31.347078,-103.659447,8/7/2023 10:48
83,-0.89771,-52.58056,8/7/2023 10:51
84,40.78682,129.10395,8/7/2023 10:56
85,1.71947,36.96304,8/7/2023 10:59
86,26.47948,80.81699,8/7/2023 11:02
87,22.50574,46.55465,8/7/2023 11:08
88,63.03953,108.25112,8/7/2023 11:11
89,-23.29867,118.29806,8/7/2023 11:12
90,9.98066,77.73949,8/7/2023 11:18
91,26.18458,-102.8606,8/7/2023 11:20
92,33.71109,109.18874,8/7/2023 11:22
93,44.76585,54.87559,8/7/2023 11:25
94,-0.49014,34.43584,8/7/2023 11:27
95,-29.65241,-50.9944,8/7/2023 11:29
96,-16.691,-45.22697,8/7/2023 11:30
97,63.22584,31.13857,8/7/2023 11:33
98,37.01728,33.78387,8/7/2023 11:37
99,6.29735,-10.10458,8/7/2023 11:39
100,-10.8294,23.0928,8/7/2023 11:42
101,45.4582,43.319,8/7/2023 11:44
102,49.1754,109.384,8/7/2023 11:45
103,57.4159,-107.6208,8/7/2023 11:47
104,59.4538,52.6226,8/7/2023 11:50
105,57.5042,-112.7529,8/7/2023 11:52
106,51.0022,89.4726,8/7/2023 11:54
107,43.8109,118.362,8/7/2023 11:56
108,49.7425,-119.1538,8/7/2023 11:57
109,46.7084,-86.741,8/7/2023 11:58
110,30.847,61.9806,8/7/2023 11:59
111,7.5302,40.4805,8/7/2023 12:00
112,43.9325,0.9591,8/7/2023 12:02
113,53.8084,41.8902,8/7/2023 12:06
114,30.479,61.3747,8/7/2023 12:08
115,41.3712,114.8113,8/7/2023 12:12
116,33.0036,-96.2634,8/7/2023 12:15
117,-37.3065,146.1872,8/7/2023 12:18
118,49.9606,-88.6259,8/7/2023 12:20
119,30.4322,-109.7955,8/7/2023 12:24
120,58.7104,-102.2549,8/7/2023 12:28
121,60.0767,46.1736,8/7/2023 12:30
122,-8.6894,-49.3452,8/7/2023 12:32
123,14.6377,-15.8056,8/7/2023 12:38
124,49.6357,47.1656,8/7/2023 12:42
125,0.9281,12.4494,8/7/2023 12:44
126,6.5712,42.9672,8/7/2023 12:46
127,31.6199,-83.2999,8/7/2023 12:53
128,67.773,18.1962,8/7/2023 12:55
129,-33.2638,-69.154,8/7/2023 12:59
130,40.184,33.3194,8/7/2023 13:01
131,48.4512,-115.54,8/7/2023 13:05
132,16.7132,2.354,8/7/2023 13:09
133,60.8292,69.7142,8/7/2023 13:13
134,28.1929,35.4774,8/7/2023 13:17
135,61.4699,-154.4301,8/7/2023 13:19
136,60.7355,9.6605,8/7/2023 13:21
137,14.5325,34.7296,8/7/2023 13:27
138,31.1491,-115.6631,8/7/2023 13:33
139,22.5439,87.7724,8/7/2023 13:36
140,7.3957,1.1869,8/7/2023 13:39
141,-35.0611,139.802,8/7/2023 13:42
142,-18.9694,47.9704,8/7/2023 13:45
143,-19.6018,136.1362,8/7/2023 13:49
144,18.7115,-103.1309,8/7/2023 13:51
145,61.4498,22.9783,8/7/2023 13:53
146,-17.2817,25.503,8/7/2023 13:56
147,54.4244,40.7128,8/7/2023 14:00
148,-4.052,121.9484,8/7/2023 14:04
149,39.6325,-1.7531,8/7/2023 14:09
150,66.074,25.181,8/7/2023 14:14
151,36.8556,63.862,8/7/2023 14:18
152,34.8607,2.8051,8/7/2023 14:20
153,66.5435,-156.6439,8/7/2023 14:23
154,-47.451,-69.9616,8/7/2023 14:26
155,-27.3524,-50.8409,8/7/2023 14:29
156,-38.0206,-69.6062,8/7/2023 14:32
157,46.9566,39.392,8/7/2023 14:34
158,33.1052,-96.0974,8/7/2023 14:39
159,48.9592,99.6481,8/7/2023 14:41
160,-4.4649,-71.394,8/7/2023 14:44
161,54.2421,-113.2988,8/7/2023 14:47
162,-20.7331,45.1982,8/7/2023 14:49
163,16.0464,-91.7424,8/7/2023 14:52
164,47.9538,7.935,8/7/2023 14:55
165,-19.8541,48.4304,8/7/2023 14:58
166,38.8749,-92.2022,8/7/2023 14:59
167,43.1047,-85.9761,8/7/2023 15:00
168,-19.0217,122.2956,8/7/2023 15:02
169,-0.9038,20.3561,8/7/2023 15:05
170,37.0464,-4.2841,8/7/2023 15:08
171,33.0058,130.6424,8/7/2023 15:09
172,30.1386,20.9827,8/7/2023 15:10
173,33.2536,131.7117,8/7/2023 15:15
174,51.2274,45.3252,8/7/2023 15:18
175,-40.8974,-63.5151,8/7/2023 15:20
